iter	Passed	Remaining
805	4479	1078
806	4482	1072
807	4485	1065
808	4539	1071
809	4542	1065
810	4546	1059
811	4550	1053
812	4553	1047
813	4562	1042
814	4568	1036
815	4573	1031
816	4576	1025
817	4579	1018
818	4582	1012
819	4587	1007
820	4591	1001
821	4594	994
822	4597	988
823	4602	982
824	4605	976
825	4608	970
826	4611	964
827	4615	958
828	4619	952
829	4621	946
830	4624	940
831	4629	934
832	4663	934
833	4666	928
834	4669	922
835	4673	916
836	4677	910
837	4681	905
838	4686	899
839	4690	893
840	4694	887
841	4697	881
842	4702	875
843	4706	869
844	4709	863
845	4724	860
846	4731	854
847	4735	848
848	4738	842
849	4743	837
850	4747	831
851	4750	825
852	4754	819
853	4762	814
854	4766	808
855	4771	802
856	4775	796
857	4778	790
858	4784	785
859	4788	779
860	4791	773
861	4814	770
862	4818	764
863	4821	758
864	4827	753
865	4831	747
866	4834	741
867	4841	736
868	4845	730
869	4848	724
870	4853	718
871	4857	713
872	4860	707
873	4866	701
874	4872	696
875	4876	690
876	4883	684
877	4886	679
878	4890	673
879	4895	667
880	4898	661
881	4901	655
882	4906	650
883	4910	644
884	4914	638
885	4917	632
886	4928	627
887	4931	622
888	4936	616
889	4939	610
890	4943	604
891	4948	599
892	4952	593
893	4956	587
894	4961	582
895	4965	576
896	4969	570
897	4972	564
898	4977	559
899	4980	553
900	4983	547
901	4989	542
902	4993	536
903	4997	530
904	5004	525
905	5008	519
906	5017	514
907	5020	508
908	5023	502
909	5029	497
910	5033	491
911	5037	486
912	5043	480
913	5048	474
914	5051	469
915	5057	463
916	5060	458
917	5063	452
918	5068	446
919	5073	441
920	5076	435
921	5081	429
922	5094	425
923	5099	419
924	5102	413
925	5121	409
926	5125	403
927	5129	397
928	5133	392
929	5137	386
930	5141	381
931	5145	375
932	5148	369
933	5153	364
934	5158	358
935	5161	352
936	5165	347
937	5170	341
938	5174	336
939	5178	330
940	5182	324
941	5186	319
942	5188	313
943	5213	309
944	5217	303
945	5222	298
946	5226	292
947	5229	286
948	5233	281
949	5238	275
950	5242	270
951	5245	264
952	5261	259
953	5266	253
954	5269	248
955	5272	242
956	5279	237
957	5283	231
958	5291	226
959	5296	220
960	5300	215
961	5307	209
962	5311	204
963	5315	198
964	5320	192
965	5324	187
966	5330	181
967	5335	176
968	5339	170
969	5347	165
970	5351	159
971	5363	154
972	5367	148
973	5374	143
974	5379	137
975	5386	132
976	5390	126
977	5393	121
978	5400	115
979	5404	110
980	5407	104
981	5410	99
982	5415	93
983	5418	88
984	5422	82
985	5427	77
986	5431	71
987	5449	66
988	5453	60
989	5457	55
990	5461	49
991	5464	44
992	5469	38
993	5473	33
994	5477	27
995	5481	22
996	5485	16
997	5488	10
998	5494	5
999	5498	0
